Date;Rate;Dollar;Euro
2013-09-17;5.50;32.2907;43.1597
2013-09-18;5.50;32.3237;43.1457
2013-09-19;5.50;32.245;43.0761
2013-09-20;5.50;31.5892;42.7465
2013-09-24;5.50;31.9106;43.2038
2013-09-25;5.50;31.8167;42.9653
2013-09-26;5.50;31.9343;43.0251
2013-09-27;5.50;32.1736;43.4987
2013-10-01;5.50;32.4839;43.8143
2013-10-02;5.50;32.2965;43.8005
2013-10-03;5.50;32.2979;43.6603
2013-10-04;5.50;32.125;43.6932
2013-10-08;5.50;32.2931;43.8314
2013-10-09;5.50;32.2984;43.8225
2013-10-10;5.50;32.3619;43.8471
2013-10-11;5.50;32.3564;43.6844
2013-10-15;5.50;32.2663;43.766
2013-10-16;5.50;32.2676;43.7645
2013-10-17;5.50;32.2561;43.6102
2013-10-18;5.50;32.0816;43.5123
2013-10-22;5.50;31.9013;43.6378
2013-10-23;5.50;31.9346;43.661
2013-10-24;5.50;31.7448;43.7126
2013-10-25;5.50;31.6618;43.7249
2013-10-29;5.50;31.8119;43.9036
2013-10-30;5.50;31.9445;44.0323
2013-10-31;5.50;32.0613;44.0586
2013-11-01;5.50;32.0758;43.9406
2013-11-06;5.50;32.3509;43.6672
2013-11-07;5.50;32.4511;43.822
2013-11-08;5.50;32.3803;43.7879
2013-11-12;5.50;32.6622;43.6563
2013-11-13;5.50;32.8076;43.9228
2013-11-14;5.50;32.8184;44.1046
2013-11-15;5.50;32.6874;44.0201
2013-11-19;5.50;32.5658;43.9541
2013-11-20;5.50;32.6098;44.0624
2013-11-21;5.50;32.7417;44.3421
2013-11-22;5.50;33.018;44.33
2013-11-26;5.50;32.7733;44.3685
2013-11-27;5.50;32.9879;44.6392
2013-11-28;5.50;33.0041;44.8262
2013-11-29;5.50;33.1332;44.9949
2013-12-03;5.50;33.1482;45.0882
2013-12-04;5.50;33.246;45.0417
2013-12-05;5.50;33.2632;45.1748
2013-12-06;5.50;33.114;45.1013
2013-12-10;5.50;32.7782;44.9127
2013-12-11;5.50;32.7848;45.0758
2013-12-12;5.50;32.7315;45.0418
2013-12-13;5.50;32.7518;45.1549
2013-12-17;5.50;32.8658;45.2135
2013-12-18;5.50;32.8646;45.2644
2013-12-19;5.50;32.9404;45.3688
2013-12-20;5.50;32.9527;45.0628
2013-12-24;5.50;32.9506;45.0863
2013-12-25;5.50;32.6284;44.652
2013-12-26;5.50;32.6487;44.6438
2013-12-27;5.50;32.671;44.7005
2013-12-31;5.50;32.7292;44.9699
2014-01-10;5.50;33.1547;45.0672
2014-01-14;5.50;33.1204;45.2855
2014-01-15;5.50;33.2386;45.4139
2014-01-16;5.50;33.3562;45.4878
2014-01-17;5.50;33.4013;45.4926
2014-01-21;5.50;33.6429;45.5424
2014-01-22;5.50;33.8161;45.8242
2014-01-23;5.50;33.8688;45.9125
2014-01-24;5.50;34.0334;46.105
2014-01-28;5.50;34.7093;47.4962
2014-01-29;5.50;34.625;47.3739
2014-01-30;5.50;34.5633;47.2238
2014-01-31;5.50;35.2448;48.0951
2014-02-04;5.50;35.2347;47.5351
2014-02-05;5.50;35.4502;47.9535
2014-02-06;5.50;34.9592;47.2159
2014-02-07;5.50;34.7287;46.9497
2014-02-11;5.50;34.7636;47.3758
2014-02-12;5.50;34.7964;47.5319
2014-02-13;5.50;34.7595;47.4154
2014-02-14;5.50;34.8611;47.4913
2014-02-18;5.50;35.0976;48.1188
2014-02-19;5.50;35.2386;48.3086
2014-02-20;5.50;35.5857;48.973
2014-02-21;5.50;35.767;49.1975
2014-02-25;5.50;35.5112;48.7959
2014-02-26;5.50;35.5669;48.8654
2014-02-27;5.50;35.7872;49.1823
2014-02-28;5.50;36.0501;49.3454
2014-03-04;7.00;36.3784;50.1513
2014-03-05;7.00;36.3208;49.952
2014-03-06;7.00;36.0849;49.5446
2014-03-07;7.00;36.1251;49.5925
2014-03-12;7.00;36.4015;50.4707
2014-03-13;7.00;36.4865;50.5593
2014-03-14;7.00;36.4566;50.8096
2014-03-18;7.00;36.6505;50.9442
2014-03-19;7.00;36.4487;50.7621
2014-03-20;7.00;36.207;50.4146
2014-03-21;7.00;36.1081;49.9628
2014-03-25;7.00;36.1663;49.9167
2014-03-26;7.00;35.9316;49.7042
2014-03-27;7.00;35.4494;48.9521
2014-03-28;7.00;35.581;49.0484
2014-04-01;7.00;35.6053;48.968
2014-04-02;7.00;35.024;48.2596
2014-04-03;7.00;35.2517;48.6826
2014-04-04;7.00;35.5154;48.8834
2014-04-08;7.00;35.4679;48.6159
2014-04-09;7.00;35.5475;48.86
2014-04-10;7.00;35.7493;49.2911
2014-04-11;7.00;35.5581;49.2266
2014-04-15;7.00;35.989;49.8232
2014-04-16;7.00;35.9635;49.6836
2014-04-17;7.00;36.0813;49.886
2014-04-18;7.00;35.9287;49.7289
2014-04-22;7.00;35.6688;49.2978
2014-04-23;7.00;35.6785;49.2185
2014-04-24;7.00;35.6625;49.282
2014-04-25;7.00;35.683;49.3175
2014-04-29;7.50;36.0245;49.8219
2014-04-30;7.50;35.6983;49.5064
2014-05-06;7.50;35.8381;49.7361
2014-05-07;7.50;35.655;49.507
2014-05-08;7.50;35.4971;49.412
2014-05-13;7.50;35.2091;48.4759
2014-05-14;7.50;34.8789;48.0073
2014-05-15;7.50;34.709;47.6173
2014-05-16;7.50;34.7005;47.5674
2014-05-20;7.50;34.7394;47.6416
2014-05-21;7.50;34.6007;47.3995
